postcode,medianPrice,impact,lat,long
PO7 8PR,233500.0,2935572.2418683134,50.873028445065735,-1.0151177180582718
SO17 1NS,291800.0,3042910.8771929825,50.92519159619975,-1.3928282177329627
TN28 8XN,326500.0,3646389.8550724634,50.982798274557744,0.9457326141412198
KT3 4JW,875200.0,11003052.78836466,51.403751630324614,-0.2525162932960891
CT2 8AA,303500.0,3815615.312235688,51.279580388378996,1.074702371999491
HP6 5DP,757700.0,9525837.634533709,51.6724769341777,-0.6022554547708302
SW1X 0BJ,3089000.0,30933202.797202796,51.4936644120986,-0.15926039325922858
W9 3QP,667900.0,8396868.095690992,51.522380978606904,-0.20046790184864974
CT2 7ED,281700.0,3541544.7560355626,51.2806633854736,1.0759077481759294
N15 6BB,782300.0,9835109.91354853,51.57621158472112,-0.06463030928260309
RH16 2BT,581100.0,6142227.0,51.01266975849018,-0.08707296719892327
RG20 8XF,218600.0,1189027.857142857,51.45372991537212,-1.3129514094983636
GU27 3QT,288300.0,2296036.274509804,51.08350083444472,-0.752642448278419
OX10 8NL,409200.0,2494618.348623853,51.59415353166307,-1.1370380259565394
E10 5HJ,283700.0,3566688.843760345,51.56201823534732,-0.020348605278784532
SE15 2TP,514900.0,8131709.009009009,51.47021405664765,-0.06101300331809423
E14 3AT,523500.0,6581464.961961722,51.48627796625093,-0.01658750848723983
KT13 8LR,629000.0,5719395.225464191,51.37799410460572,-0.45603021804277555
SM1 1EL,544200.0,6841706.269913217,51.36098703614348,-0.19370055330243402
SE28 8QY,388500.0,7710929.824561403,51.50817040157139,0.12958092531217466
RH20 4BB,539500.0,5827351.916376306,50.885138788643765,-0.4094126708504485
PO22 6BP,354100.0,4338494.782608695,50.792708604244616,-0.6314676624184068
HA3 9QR,401400.0,5046418.406363773,51.58506809353504,-0.28504720927311383
BN14 9DA,440900.0,5416525.390625,50.827150702344255,-0.3746649422208209
PO10 8AN,244000.0,2797915.6626506024,50.8457058997192,-0.9261498671525171
HA8 8FP,626500.0,7876385.479788002,51.618991730498074,-0.2878566975138028
SW13 9NT,3358800.0,38336231.65467626,51.476988312677506,-0.24575871876506855
RM1 4QU,216200.0,2718075.883048948,51.586198507394926,0.17203112518609295
ME12 3TJ,43880100.0,626503039.7014925,51.4110838943773,0.7912148283888363
N15 4LF,548100.0,6890737.240976542,51.58596325355943,-0.07665905656878218
OX13 6HW,547100.0,5301896.363636364,51.688304851340035,-1.3031870455407377
KT8 1RB,429800.0,5403464.45205568,51.40144436452548,-0.3764150257517767
TN9 2AT,265700.0,3340392.0542373057,51.185252970590845,0.27519174857638296
TW15 3DB,517200.0,6336591.724137931,51.43813244994911,-0.4790814144279665
N12 0HL,480400.0,6039609.871492667,51.60610130090956,-0.18306482097483212
BN21 4QH,331700.0,2701133.3333333335,50.76539678402983,0.28437118975242914
TW9 1SA,1869800.0,23507207.61389881,51.458251856828554,-0.3014639997959059
SO14 5AD,184200.0,1608207.6923076923,50.90789807128806,-1.38703687655029
TW1 3BB,679100.0,8537674.986949772,51.449097097120074,-0.319159916260204
BR1 2EP,796800.0,10017404.5495532,51.39014209880151,0.04528437451019636
GU10 5EE,1140300.0,6597137.931034483,51.20704308275849,-0.8326374913206639
TN8 6QG,546600.0,6871879.175182955,51.214434223579495,0.01767072608459725
CT11 8EL,244200.0,3162052.1739130435,51.336943774592754,1.4258252655381427
N17 7PZ,416300.0,5233741.8599134,51.597213895690345,-0.09085351333248394
N17 0JQ,560900.0,7051659.402415148,51.60020759233333,-0.06674363989074256
BN14 9HJ,225800.0,2773988.28125,50.82749214530018,-0.3682207853727636
W13 9NS,568200.0,7143435.322610603,51.508403272827316,-0.31529235290898455
NW6 6HH,1297700.0,16314741.320224885,51.53022280291971,-0.21666648352412696
CT12 6BP,149600.0,2449323.489932886,51.34596026243076,1.4018075440330748
GU21 2RL,454800.0,6114093.9130434785,51.31150496534937,-0.6254034266650275
TW17 0LY,398400.0,4565171.134020618,51.40480214408464,-0.4621150039150631
E3 5RP,566400.0,7120805.643658299,51.52720819569921,-0.0390435998116323
CT1 2JX,461200.0,5798226.629334759,51.276341407462326,1.081641926686695
OX14 2EE,397100.0,5037316.334661354,51.677193082306786,-1.2742733229230019
TW18 2HQ,488700.0,5958123.287671233,51.41587240112192,-0.5064391048651458
SN6 7PR,331300.0,4165118.1316101598,51.64022861569241,-1.660234400445099
GU46 6YD,582600.0,8671255.813953489,51.33039192617328,-0.8338862782573939
TN40 2LY,174000.0,2602583.606557377,50.84697447801701,0.4864226626751763
SE19 3DF,438300.0,6162423.076923077,51.40676280806203,-0.08901909372962982
SS8 7ES,281200.0,3535258.7341043674,51.515789950019894,0.6019340970234621
GU9 8LJ,744700.0,9362401.064322626,51.204743908795756,-0.7972815040778554
SP11 0JX,994100.0,5644792.635658915,51.30469049795677,-1.5085357140417652
SW10 9NR,2757500.0,38484181.701030925,51.4843957965501,-0.1815692389565865
E4 9DB,435900.0,5480153.919616265,51.60939473254782,-0.01461967822291101
W1G 9DW,7222700.0,90804101.20489193,51.516545499227504,-0.14491951834564556
HP12 4RS,358300.0,4243553.0726256985,51.61908602776193,-0.7875603955030643
SS7 3QL,256100.0,3219700.4331583516,51.56546139444656,0.5856642670360588
GU21 5BZ,470900.0,4376193.841642229,51.32317722190812,-0.5492348287627253
RH19 3GH,400200.0,4742319.083969465,51.124165365443574,-0.00981659985008142
ME17 3RJ,581900.0,4147360.0,51.22064518130718,0.5716597239035498
SE4 2FL,538700.0,6772560.028670066,51.46368347958657,-0.04014127352866654
HA0 2TE,595700.0,7489166.528826357,51.55363997026328,-0.3230408093279916
HP8 4AA,1075400.0,13519975.96961535,51.64640430611067,-0.5510101992091073
TW13 5DU,362800.0,5606317.488789238,51.44324152739812,-0.3971075307309415
BN27 4LF,395200.0,2425090.909090909,50.88758423966831,0.3250806875520528
W1J 0QP,225000.0,2828709.8690379895,51.50687866760766,-0.140052514587875
W1S 3PH,26887200.0,338027057.736881,51.50912015623356,-0.1402782656159836
PO22 7LS,557000.0,5816210.144927536,50.788764115781184,-0.6407619802701935
